venue_name,venue_id,sample_venue_url,activity_names,activity_ids
Shuqun Primary School Hall,lKEsT2QFlC9IvEZBD4SYr,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/lKEsT2QFlC9IvEZBD4SYr/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
Si Ling Primary School Field,yL1LEvNqrKuplcb1mikuW,https://activesg.gov.sg/facility-bookings/activities/naPJABNOkipmCtzJsHzHo/venues/yL1LEvNqrKuplcb1mikuW/timeslots,Free To Play,naPJABNOkipmCtzJsHzHo
South View Primary School Hall,859QPd8kzWT2vhgK5xlFd,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/859QPd8kzWT2vhgK5xlFd/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
St. Anthony's Primary School Hall,XXjIDkenq2PJCl0K9Z0QP,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/XXjIDkenq2PJCl0K9Z0QP/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
St. Gabriel's Secondary School Field,Jj2GHfkJGIAL6HzvciHbB,https://activesg.gov.sg/facility-bookings/activities/qSP0nrWIP8357EAeeLo4Z/venues/Jj2GHfkJGIAL6HzvciHbB/timeslots,Soccer,qSP0nrWIP8357EAeeLo4Z
St. Gabriel's Secondary School Hall,RBC3BhHXlonpOAHS8vVYH,https://activesg.gov.sg/facility-bookings/activities/YLONatwvqJfikKOmB5N9U/venues/RBC3BhHXlonpOAHS8vVYH/timeslots,Badminton,YLONatwvqJfikKOmB5N9U
St. Patrick's School (Secondary) Hall,wWoS5nZbFk3tHmAYsWAEh,https://activesg.gov.sg/facility-bookings/activities/BPQihVHITc7IPGorVeB2Y/venues/wWoS5nZbFk3tHmAYsWAEh/timeslots,Pickleball,BPQihVHITc7IPGorVeB2Y
St. Wilfred Field,kIDvJJU7pd8gCdLGjOV8Y,https://activesg.gov.sg/facility-bookings/activities/NgyHfjIo82MJwxldnLRxi/venues/kIDvJJU7pd8gCdLGjOV8Y/timeslots,Soccer (5-A-Side) | Soccer (5-A-Side)(Night),NgyHfjIo82MJwxldnLRxi | BuVcuAceJwBRqZV3uJqaQ
St. Wilfred Squash Centre,oDlx6YpGHkzRaYZiRoyjV,https://activesg.gov.sg/facility-bookings/activities/LpU5wm359gvhKzEvHFt6F/venues/oDlx6YpGHkzRaYZiRoyjV/timeslots,Squash,LpU5wm359gvhKzEvHFt6F
St. Wilfred Tennis Centre,VwxjQfIfutjiJJK7GU5m5,https://activesg.gov.sg/facility-bookings/activities/B0KovYOcQun1mA4VowDq0/venues/VwxjQfIfutjiJJK7GU5m5/timeslots,Tennis,B0KovYOcQun1mA4VowDq0
